author	year	month	affiliation	commit count	lines added	lines removed	date
BerryJia	2003	4	Sun	1	14	3	2003-4-1
OPENSTEP	2002	4	unaffiliated	143	2590	1021	2002-4-1
OPENSTEP	2002	5	unaffiliated	18	410	152	2002-5-1
OPENSTEP	2002	6	unaffiliated	13	545	24	2002-6-1
OPENSTEP	2002	8	unaffiliated	192	3439	2922	2002-8-1
OPENSTEP	2002	9	unaffiliated	2	105	36	2002-9-1
OPENSTEP	2002	10	unaffiliated	1	3	3	2002-10-1
OPENSTEP	2002	11	unaffiliated	3	1073	87	2002-11-1
OPENSTEP	2002	12	unaffiliated	8	164	138	2002-12-1
OPENSTEP	2003	3	unaffiliated	1	23	7	2003-3-1
OPENSTEP	2003	4	unaffiliated	3124	120995	126300	2003-4-1
OPENSTEP	2003	5	unaffiliated	6	65	11	2003-5-1
ab	2000	9	Sun	5	441	43	2000-9-1
ab	2000	10	Sun	21	321	400	2000-10-1
ab	2000	11	Sun	33	1284	296	2000-11-1
ab	2000	12	Sun	18	346	319	2000-12-1
ab	2001	1	Sun	2	28	20	2001-1-1
ab	2001	2	Sun	23	285	71	2001-2-1
ab	2001	3	Sun	64	3211	1906	2001-3-1
ab	2001	4	Sun	26	875	558	2001-4-1
ab	2001	5	Sun	54	804	489	2001-5-1
ab	2001	6	Sun	37	3359	475	2001-6-1
ab	2001	7	Sun	24	259	232	2001-7-1
ab	2001	8	Sun	27	416	157	2001-8-1
ab	2001	9	Sun	29	526	158	2001-9-1
ab	2001	10	Sun	15	810	84	2001-10-1
ab	2001	11	Sun	46	1914	829	2001-11-1
ab	2001	12	Sun	26	505	193	2001-12-1
ab	2002	1	Sun	8	92	49	2002-1-1
ab	2002	4	Sun	13	197	112	2002-4-1
ab	2002	5	Sun	3	435	342	2002-5-1
ab	2002	6	Sun	4	152	26	2002-6-1
ab	2002	7	Sun	59	1004	2077	2002-7-1
ab	2002	8	Sun	34	695	283	2002-8-1
ab	2002	9	Sun	2	65	40	2002-9-1
ab	2002	10	Sun	28	1363	326	2002-10-1
ab	2002	11	Sun	32	623	425	2002-11-1
ab	2002	12	Sun	12	300	82	2002-12-1
ab	2003	1	Sun	15	118	161	2003-1-1
ab	2003	2	Sun	16	467	174	2003-2-1
ab	2003	3	Sun	11	216	82	2003-3-1
ab	2003	4	Sun	46	650	348	2003-4-1
ab	2003	5	Sun	7	78	37	2003-5-1
ab	2003	6	Sun	12	184	48	2003-6-1
ab	2003	7	Sun	1	3	4	2003-7-1
ab	2003	8	Sun	17	204	60	2003-8-1
ab	2003	9	Sun	23	507	140	2003-9-1
ab	2003	10	Sun	12	297	61	2003-10-1
ab	2003	11	Sun	10	159	50	2003-11-1
ab	2003	12	Sun	8	187	114	2003-12-1
ab	2004	1	Sun	90	4072	491	2004-1-1
ab	2004	2	Sun	9	160	122	2004-2-1
ab	2004	3	Sun	3	29	31	2004-3-1
ab	2004	4	Sun	3	50	11	2004-4-1
ab	2004	5	Sun	5	51	27	2004-5-1
ab	2004	6	Sun	3	13	11	2004-6-1
ab	2004	7	Sun	26	1474	752	2004-7-1
ab	2004	8	Sun	19	237	127	2004-8-1
ab	2004	9	Sun	53	1205	246	2004-9-1
ab	2004	10	Sun	70	2869	499	2004-10-1
ab	2004	11	Sun	26	455	501	2004-11-1
ab	2004	12	Sun	1	3	3	2004-12-1
ab	2005	1	Sun	28	859	176	2005-1-1
ab	2005	2	Sun	25	541	241	2005-2-1
ab	2005	3	Sun	23	4161	4037	2005-3-1
ab	2005	4	Sun	3	40	19	2005-4-1
ab	2005	5	Sun	6	143	54	2005-5-1
ab	2005	6	Sun	8	60	25	2005-6-1
ab	2005	7	Sun	6	54	31	2005-7-1
ab	2005	8	Sun	13	160	103	2005-8-1
ab	2005	9	Sun	15	805	46	2005-9-1
ab	2005	10	Sun	5	37	125	2005-10-1
ab	2005	11	Sun	60	377	460	2005-11-1
ab	2005	12	Sun	140	2781	1868	2005-12-1
ab	2006	1	Sun	9	125	75	2006-1-1
